"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2557626,"March 28, 2023",Texas,Houston,"14500 block of S Main St",1,0,N/A
2557624,"March 28, 2023",Louisiana,"New Orleans","800 block of North Tonti St",1,0,N/A
2557599,"March 28, 2023",Tennessee,Nashville,"1000 block of Hart Ln",0,2,N/A
2557576,"March 28, 2023",Maryland,Suitland,"3370 Curtis Dr",0,1,N/A
2557558,"March 28, 2023",Michigan,Detroit,N/A,0,1,N/A
2557546,"March 28, 2023",Louisiana,Lafayette,"315 Rue du Belier",0,0,N/A
2557555,"March 28, 2023",Illinois,Chicago,"5843 S Peoria St",0,1,N/A
2557544,"March 28, 2023","District of Columbia",Washington,"300 block of Franklin St NE",0,1,N/A
2556535,"March 28, 2023",Maryland,"St Charles","4136 Falcon Pl",0,1,N/A
2557517,"March 28, 2023",Maryland,Baltimore,"300 block of McMechen St",0,1,N/A
2557515,"March 28, 2023",Indiana,Lafayette,"2905 Westchester Ln W",1,0,N/A
2557455,"March 28, 2023",Minnesota,"Saint Paul","W Kellogg Blvd",0,1,N/A
2557420,"March 28, 2023",Pennsylvania,Philadelphia,"900 block of E Godfrey Ave",0,1,N/A
2557361,"March 28, 2023",Ohio,Cincinnati,"Delta Ave and Linwood Ave",0,1,N/A
2557283,"March 28, 2023",Georgia,Atlanta,"1120 Metropolitan Pkwy SW",0,1,N/A
2557237,"March 28, 2023",Georgia,Augusta,"744 Broad St",1,0,N/A
2557225,"March 28, 2023",Kentucky,Paducah,"600 block of S 28th St",0,1,N/A
2557223,"March 28, 2023",Louisiana,"New Orleans","8700 block of Almonaster Ave",1,0,N/A
2557218,"March 28, 2023",Pennsylvania,Morrisville,"Steel Rd W and New Ford Mill Rd",0,1,N/A
2557123,"March 28, 2023",Wisconsin,Milwaukee,"N 61st St and W Medford Ave",1,0,N/A
2557054,"March 28, 2023",Wisconsin,Milwaukee,"4900 block of W Villard Ave",0,1,N/A
2557163,"March 28, 2023",Minnesota,Minneapolis,"52nd Ave N and N Washburn Ave",0,1,N/A
2556716,"March 28, 2023",Texas,"San Antonio","Military Dr",0,1,N/A
2556257,"March 28, 2023",Maryland,Hyattsville,"2430 Chillum Rd",1,2,N/A
2556546,"March 28, 2023",Iowa,"Council Bluffs","515 S 7th St",0,1,N/A
2556523,"March 28, 2023",Pennsylvania,Philadelphia,"16th St and W Hunting Park Ave",1,0,N/A
2556307,"March 28, 2023","District of Columbia",Washington,"3400 block of 13th Pl SE",0,1,N/A
2556195,"March 28, 2023",Maryland,"Capitol Heights",N/A,0,1,N/A
2556160,"March 27, 2023",Texas,Desoto,"300 block of Polk St",1,0,N/A
2556182,"March 27, 2023",Ohio,Columbus,"2800 block of E 6th Ave",0,1,N/A
2555459,"March 27, 2023",Tennessee,Nashville,"33 Burton Hills Blvd",7,0,N/A
2556147,"March 27, 2023","North Carolina",Raleigh,"700 block of Cumberland St",1,0,N/A
2556072,"March 27, 2023",Texas,Brownsville,"100 block of Meadow Ln",1,0,N/A
2556051,"March 27, 2023",California,Tarzana,"13000 block of W Oxnard St",0,1,N/A
2556033,"March 27, 2023",California,Hesperia,"17115 Main St",0,1,N/A
2556018,"March 27, 2023",Iowa,Davenport,"1200 block of Myrtle St",0,2,N/A
2555723,"March 27, 2023",Michigan,Detroit,"Gratiot Ave and E State Fair Ave",0,2,N/A
2555920,"March 27, 2023",Illinois,Chicago,"700 block of N Homan Ave",0,1,N/A
2555912,"March 27, 2023",California,"San Diego","10900 San Diego Mission Rd",1,0,N/A
2557622,"March 27, 2023","North Carolina","Winston Salem (Winston-salem)","Horizon Ln",0,1,N/A
2557618,"March 27, 2023","New York",Brooklyn,"772 Blake Ave",0,1,N/A
2555904,"March 27, 2023",Illinois,Chicago,"1900 block of S St Louis Ave",0,1,N/A
2557616,"March 27, 2023","North Carolina",Windsor,"401 Sterlingworth St",0,1,N/A
2556304,"March 27, 2023","West Virginia",Elkins,"5185 Chenoweth Creek Rd",1,0,N/A
2556474,"March 27, 2023",Texas,Houston,"1900 block of Main St",0,1,N/A
2557608,"March 27, 2023","North Carolina",Greensboro,"3600 block of Hahns Ln",0,1,N/A
