"Incident ID","Incident Date",State,"City Or County",Address,"# Killed","# Injured",Operations
2555459,"March 27, 2023",Tennessee,Nashville,"33 Burton Hills Blvd",7,0,N/A
2555326,"March 27, 2023",Wisconsin,Milwaukee,"7225 N 76th St",0,5,N/A
2554779,"March 26, 2023",Pennsylvania,Philadelphia,"1900 block of N 19th St",2,2,N/A
2555309,"March 26, 2023",Minnesota,Minneapolis,"5601 Brooklyn Blvd",0,6,N/A
2555301,"March 26, 2023",Arkansas,"Little Rock","3002 Washington St",2,5,N/A
2555123,"March 26, 2023",Louisiana,Minden,"801 Harris St",0,4,N/A
2553829,"March 25, 2023",Louisiana,Shreveport,"200 block of Texas St",1,5,N/A
2554912,"March 25, 2023","New York",Hempstead,"Spencer Pl and Jerusalem Ave",0,4,N/A
2555579,"March 25, 2023","North Carolina",Williamston,"W Pine St",0,5,N/A
2553878,"March 25, 2023",Illinois,Macomb,"533 N Johnson St",1,10,N/A
2553843,"March 24, 2023",Louisiana,Shreveport,"1800 block of Logan St",0,8,N/A
2552552,"March 23, 2023",Maryland,Baltimore,"2801 Edmondson Ave",1,5,N/A
2551596,"March 21, 2023","New Jersey",Trenton,"45 N Stockton St",0,4,N/A
2551678,"March 21, 2023","South Carolina",Sumter,"190 Whitetail Cir",5,0,N/A
2550749,"March 20, 2023",Wisconsin,Milwaukee,"N 14th St and W Concordia Ave",1,5,N/A
2548773,"March 18, 2023",Ohio,Columbus,"1570 S. High St",2,4,N/A
2549452,"March 18, 2023",Illinois,Chicago,"2425 E 72nd St",0,4,N/A
2549324,"March 18, 2023",Texas,Dallas,"Gannon Ln and S Westmoreland Rd",0,4,N/A
2546495,"March 15, 2023",Oregon,Portland,"7900 NE 82nd Ave",2,2,N/A
2545871,"March 14, 2023",Alabama,Birmingham,"8400 block of 8th Ave S",4,0,N/A
2545631,"March 13, 2023",Texas,Lubbock,"9103 Ave P",1,3,N/A
2544817,"March 12, 2023",Texas,Dallas,"3626 Villaverde Ave",4,0,N/A
2543748,"March 11, 2023","New York",Brooklyn,"E 45th St and Snyder Ave",1,3,N/A
2544920,"March 11, 2023",Washington,Vancouver,"6701 E Mill Plain Blvd",1,3,N/A
2543201,"March 10, 2023",Florida,Hialeah,"14811 NW 87th Ct",5,0,N/A
2541580,"March 7, 2023",Tennessee,Memphis,"2100 block of Labelle St",0,4,N/A
2541937,"March 7, 2023",Arkansas,"Pine Bluff","2611 W 34th St",2,2,N/A
2539814,"March 6, 2023",California,Sacramento,"2200 block of Rogue River Dr",3,1,N/A
2540078,"March 6, 2023",Tennessee,Memphis,"176 Hillview Ave",3,1,N/A
2539582,"March 5, 2023",Illinois,Bolingbrook,"123 Lee Lane",3,1,N/A
2539165,"March 5, 2023",Maryland,"Capitol Heights","1200 block of Elfin Ave",0,4,N/A
2539515,"March 5, 2023",Florida,"Lake City","NW Alma Ave",0,4,N/A
2539065,"March 5, 2023",Louisiana,Shreveport,"4725 Greenwood Rd",0,4,N/A
2539082,"March 4, 2023",California,"Los Angeles","E 76th Place and S Main St",0,4,N/A
2539196,"March 4, 2023",Georgia,Douglasville,"3377 Talkeetna Rd",2,7,N/A
